timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776963426652,28,Add Product to Cart-1,200,,Thread-Gruppe 1-9,text,true,,24457,875,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,28,0,0
1776963426766,30,Add Product 2 to Cart,200,,Thread-Gruppe 1-6,text,true,,30479,1989,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,8,0,0
1776963426766,8,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-6,,true,,1053,993,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,8,0,0
1776963426774,22,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-6,text,true,,29426,996,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,22,0,0
1776963426838,7,Home,200,,Thread-Gruppe 1-5,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,7,0,0
1776963426973,32,Add Product 2 to Cart,200,,Thread-Gruppe 1-3,text,true,,27682,1982,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,8,0,0
1776963426973,8,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-3,,true,,1050,989,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,8,0,0
1776963426981,24,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-3,text,true,,26632,993,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,24,0,0
1776963427047,15,List Products,200,,Thread-Gruppe 1-8,text,true,,105755,772,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,15,0,0
1776963427349,13,Home,200,,Thread-Gruppe 1-7,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,13,0,0
1776963428143,54,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,29409,1983,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,21,0,0
1776963428143,21,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,1050,990,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,21,0,0
1776963428164,33,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,28359,993,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,32,0,0
1776963428286,20,Login,200,,Thread-Gruppe 1-4,text,true,,10448,1022,10,10,http://localhost:8080/tools.descartes.teastore.webui/,13,0,0
1776963428286,13,Login-0,302,,Thread-Gruppe 1-4,,true,,803,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,13,0,0
1776963428300,6,Login-1,200,,Thread-Gruppe 1-4,text,true,,9645,746,10,10,http://localhost:8080/tools.descartes.teastore.webui/,6,0,0
1776963428316,22,List Products,200,,Thread-Gruppe 1-2,text,true,,105755,770,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=1,22,0,0
1776963428464,35,Login,200,,Thread-Gruppe 1-5,text,true,,10449,1023,10,10,http://localhost:8080/tools.descartes.teastore.webui/,12,0,0
1776963428464,12,Login-0,302,,Thread-Gruppe 1-5,,true,,804,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,12,0,0
1776963428476,23,Login-1,200,,Thread-Gruppe 1-5,text,true,,9645,747,10,10,http://localhost:8080/tools.descartes.teastore.webui/,23,0,0
1776963428476,33,List Products with different page,200,,Thread-Gruppe 1-9,text,true,,151662,897,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=4&page=5,32,0,0
1776963428852,31,List Products with different page,200,,Thread-Gruppe 1-10,text,true,,112409,898,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=6&page=3,30,0,0
1776963428949,18,Logout,200,,Thread-Gruppe 1-6,text,true,,10823,1830,10,10,http://localhost:8080/tools.descartes.teastore.webui/,8,0,0
1776963428949,8,Logout-0,302,,Thread-Gruppe 1-6,,true,,1392,1094,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,8,0,0
1776963428957,10,Logout-1,200,,Thread-Gruppe 1-6,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,10,0,0
1776963428976,11,Logout,200,,Thread-Gruppe 1-3,text,true,,10823,1827,10,10,http://localhost:8080/tools.descartes.teastore.webui/,4,0,0
1776963428976,4,Logout-0,302,,Thread-Gruppe 1-3,,true,,1392,1091,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,4,0,0
1776963428980,7,Logout-1,200,,Thread-Gruppe 1-3,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,7,0,0
1776963429254,18,Login,200,,Thread-Gruppe 1-7,text,true,,10447,1021,10,10,http://localhost:8080/tools.descartes.teastore.webui/,12,0,0
1776963429254,12,Login-0,302,,Thread-Gruppe 1-7,,true,,802,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,12,0,0
1776963429266,6,Login-1,200,,Thread-Gruppe 1-7,text,true,,9645,745,10,10,http://localhost:8080/tools.descartes.teastore.webui/,6,0,0
1776963429632,42,Look at Product,200,,Thread-Gruppe 1-8,text,true,,107397,760,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=114,42,0,0
1776963430108,28,List Products,200,,Thread-Gruppe 1-5,text,true,,124483,773,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=5&page=1,27,0,0
1776963430149,28,Add Product 2 to Cart,200,,Thread-Gruppe 1-9,text,true,,26081,1983,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,10,0,0
1776963430149,10,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-9,,true,,1050,990,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,10,0,0
1776963430159,18,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-9,text,true,,25031,993,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,18,0,0
1776963430378,20,Logout,200,,Thread-Gruppe 1-1,text,true,,10823,1827,10,10,http://localhost:8080/tools.descartes.teastore.webui/,12,0,0
1776963430378,12,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,1091,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,12,0,0
1776963430390,8,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,8,0,0
